author,year,area,Journal,method,species,pollutant,p_type1,p_type2.x,Nc,Mc,Sc,Ne,Me,Se,land_use_c,land_use_e,other_param,comment,stulab,stuid,areaid,independent,caseid,obid_l1,obid_l2,obid_l3,caselab,caseid2,obid_l1_2,oblab,p_type2,es_adj,var_adj,es_nadj,var_nadj,shared.T,se_adj,se_nadj,Check,point_dis,dis_to_pol(m),areasize(km2),temperature,humidity(%),pressure,windspeed(m/s),aveconcen(mug/m3),greencover,city,country,landtype_control,landtype_exp,leaf
Cavanagh,2009,"Christchurch, New Zealand",Urban Forestry & Urban Greening,Mass difference,NA,PM10,PM,s,37,31.5,18.8,26,22.4,16.6,outside forests,inside forests,mug,NA,10_Cavanagh_2009,10,NA,TRUE,1,1,1,1,10_Cavanagh_2009_case1,case1,obs.1,Cavanagh_2009_obs.1,s,-0.340926587,0.030749614,-0.340926587,0.030749614,FALSE,0.175355678,0.175355678,,subpoint,75.8,0.054,5.7,94.8,,3,26,0.71,Christchurch,New Zealand,Outside forest,Forest,TRUE
Cavanagh,2009,"Christchurch, New Zealand",Urban Forestry & Urban Greening,Mass difference,NA,PM10,PM,s,37,31.5,18.8,26,24.4,16.6,outside forests,edge of forests,mug,NA,10_Cavanagh_2009,10,NA,TRUE,2,2,2,2,10_Cavanagh_2009_case2,case2,obs.2,Cavanagh_2009_obs.2,s,-0.255404414,0.027428812,-0.255404414,0.027428812,FALSE,0.165616459,0.165616459,,subpoint,15.8,0.054,6.1,91,,3,27.2,0.73,Christchurch,New Zealand,Outside forest,Forest,TRUE
Jason,2011,"Los Angeles,USA",Environmental Research,Pollutant analyzer,NA,NO2,NOX,g,201,21.01,32.01,201,12.76,33.16,Park-adjacent neighborhoods,Park,ppb,"All the concentrations were derived from a local-measurement based LUR model, use with cautions",11_Jason_2011,11,NA,TRUE,1,3,1,1,11_Jason_2011_case1,case1,obs.3,Jason_2011_obs.3,g,-0.498683237,0.045147845,-0.498683237,0.045147845,FALSE,0.212480223,0.212480223,,separate,500,0.785,19.1,54.5,,3.5,39.7,,Los Angeles,USA,Outside park,Park,TRUE
Jason,2011,"Los Angeles,USA",Environmental Research,Pollutant analyzer,NA,PM25,PM,s,23,20.27,5.02,23,18.3,5.01,Park-adjacent neighborhoods,Park,mug,"All the concentrations were derived from a local-measurement based LUR model, use with cautions",11_Jason_2011,11,NA,TRUE,2,4,3,3,11_Jason_2011_case2,case2,obs.4,Jason_2011_obs.4,s,-0.102240901,0.005925395,-0.102240901,0.005925395,FALSE,0.076976589,0.076976589,,separate,500,0.785,19.1,54.5,,3.5,19.73,,Los Angeles,USA,Outside park,Park,TRUE
Jason,2011,"Los Angeles,USA",Environmental Research,Pollutant analyzer,NA,O3,O3,g,42,80.21,382,42,83.08,381,Park-adjacent neighborhoods,Park,ppb,"All the concentrations were derived from a local-measurement based LUR model, use with cautions",11_Jason_2011,11,NA,TRUE,3,5,1,2,11_Jason_2011_case3,case3,obs.5,Jason_2011_obs.5,g,0.035155804,1.040767825,0.035155804,1.040767825,FALSE,1.020180291,1.020180291,,separate,500,0.785,19.1,54.5,,3.5,185.78,,Los Angeles,USA,Outside park,Park,TRUE
YinShan,2011,Shanghai,Environmental Pollution,Pollutant analyzer,NA,NO2,NOX,g,28,0.056,0.007,28,0.048,0.007,outside park,inside park,mg,NA,12_YinShan_2011,12,NA,TRUE,1,6,2,3,12_YinShan_2011_case1,case1,obs.6,YinShan_2011_obs.6,g,-0.15415068,0.001317584,-0.15415068,0.001317584,FALSE,0.036298544,0.036298544,,subpoint,75,0.05,21.2,74,,1.3,52.2,0.8,Shanghai,China,Outside park,Park,TRUE
YinShan,2011,Shanghai,Environmental Pollution,Pollutant analyzer,NA,SO2,SO2,g,28,0.046,0.011,28,0.037,0.009,outside park,inside park,mg,NA,12_YinShan_2011,12,NA,TRUE,2,7,1,4,12_YinShan_2011_case2,case2,obs.7,YinShan_2011_obs.7,g,-0.217723484,0.00415538,-0.217723484,0.00415538,FALSE,0.064462237,0.064462237,,subpoint,75,0.05,21.2,74,,1.3,41.5,0.8,Shanghai,China,Outside park,Park,TRUE
YinShan,2011,Shanghai,Environmental Pollution,Pollutant analyzer,NA,TSP,PM,s,28,0.518,0.088,28,0.355,0.106,outside park,inside park,mg,NA,12_YinShan_2011,12,NA,TRUE,3,8,4,4,12_YinShan_2011_case3,case3,obs.8,YinShan_2011_obs.8,s,-0.377857453,0.004214912,-0.377857453,0.004214912,FALSE,0.064922356,0.064922356,,subpoint,75,0.05,21.2,74,,1.3,43.7,0.8,Shanghai,China,Outside park,Park,TRUE
Heikki,2013,"Helsinki,Finland",Environmental Pollution,Passive sampler,NA,NO2,NOX,g,20,17.41,6.18,20,16.15,5.69,outside treecover,under treecover(leaf),mug,NA,14_Heikki_2013,14,NA,TRUE,1,9,3,5,14_Heikki_2013_case1,case1,obs.9,Heikki_2013_obs.9,g,-0.075124704,0.012506667,-0.075124704,0.012506667,FALSE,0.111833213,0.111833213,,subpoint,39,0.0475,15.4,77,,2.5,16.8,0.74,Helsinki,Finland,Outside patch,Patch,TRUE
Heikki,2013,"Helsinki,Finland",Environmental Pollution,Passive sampler,NA,NO2,NOX,g,20,18.33,4.52,20,17.32,5.54,outside treecover,under treecover(fallen),mug,NA,14_Heikki_2013,14,NA,TRUE,2,10,4,6,14_Heikki_2013_case2,case2,obs.10,Heikki_2013_obs.10,g,-0.056677159,0.008155905,-0.056677159,0.008155905,FALSE,0.090310051,0.090310051,,subpoint,39,0.0475,-0.6,81,,3.2,17.8,0.22,Helsinki,Finland,Outside patch,Patch,FALSE
