author,year,area,Journal,method,species,pollutant,p_type1,p_type2.x,Nc,Mc,Sc,Ne,Me,Se,land_use_c,land_use_e,other_param,comment,stulab,stuid,areaid,independent,caseid,obid_l1,obid_l2,obid_l3,caselab,caseid2,obid_l1_2,oblab,p_type2,es_adj,var_adj,es_nadj,var_nadj,shared.T,se_adj,se_nadj
Jason,2011,"Los Angeles,USA",Environmental Research,Pollutant analyzer,NA,NO2,NOX,g,201,21.01,32.01,201,12.76,33.16,Park-adjacent neighborhoods,Park,ppb,"All the concentrations were derived from a local-measurement based LUR model, use with cautions",11_Jason_2011,11,NA,TRUE,1,3,1,1,11_Jason_2011_case1,case1,obs.3,Jason_2011_obs.3,g,-0.498683237,0.045147845,-0.498683237,0.045147845,FALSE,0.212480223,0.212480223
Jason,2011,"Los Angeles,USA",Environmental Research,Pollutant analyzer,NA,O3,O3,g,42,80.21,382,42,83.08,381,Park-adjacent neighborhoods,Park,ppb,"All the concentrations were derived from a local-measurement based LUR model, use with cautions",11_Jason_2011,11,NA,TRUE,3,5,1,2,11_Jason_2011_case3,case3,obs.5,Jason_2011_obs.5,g,0.035155804,1.040767825,0.035155804,1.040767825,FALSE,1.020180291,1.020180291
YinShan,2011,Shanghai,Environmental Pollution,Pollutant analyzer,NA,NO2,NOX,g,28,0.056,0.007,28,0.048,0.007,outside park,inside park,mg,NA,12_YinShan_2011,12,NA,TRUE,1,6,2,3,12_YinShan_2011_case1,case1,obs.6,YinShan_2011_obs.6,g,-0.15415068,0.001317584,-0.15415068,0.001317584,FALSE,0.036298544,0.036298544
YinShan,2011,Shanghai,Environmental Pollution,Pollutant analyzer,NA,SO2,SO2,g,28,0.046,0.011,28,0.037,0.009,outside park,inside park,mg,NA,12_YinShan_2011,12,NA,TRUE,2,7,1,4,12_YinShan_2011_case2,case2,obs.7,YinShan_2011_obs.7,g,-0.217723484,0.00415538,-0.217723484,0.00415538,FALSE,0.064462237,0.064462237
Heikki,2013,"Helsinki,Finland",Environmental Pollution,Passive sampler,NA,NO2,NOX,g,20,17.41,6.18,20,16.15,5.69,outside treecover,under treecover(leaf),mug,NA,14_Heikki_2013,14,NA,TRUE,1,9,3,5,14_Heikki_2013_case1,case1,obs.9,Heikki_2013_obs.9,g,-0.075124704,0.012506667,-0.075124704,0.012506667,FALSE,0.111833213,0.111833213
Heikki,2013,"Helsinki,Finland",Environmental Pollution,Passive sampler,NA,NO2,NOX,g,20,18.33,4.52,20,17.32,5.54,outside treecover,under treecover(fallen),mug,NA,14_Heikki_2013,14,NA,TRUE,2,10,4,6,14_Heikki_2013_case2,case2,obs.10,Heikki_2013_obs.10,g,-0.056677159,0.008155905,-0.056677159,0.008155905,FALSE,0.090310051,0.090310051
Vailshery,2013,"Bangalore,India",Urban Forestry & Urban Greening,Pollutant analyzer,NA,SO2,SO2,g,10,30.9,8.55,10,17.02,7.44,no treecover,under treecover,mug/only quantile data,NA,15_Vailshery_2013,15,NA,TRUE,1,13,2,7,15_Vailshery_2013_case1,case1,obs.13,Vailshery_2013_obs.13,g,-0.596367061,0.026764742,-0.596367061,0.026764742,FALSE,0.163599335,0.163599335
Maria,2014,"Gothenburg,Sweden",Environmental Pollution,Passive sampler,NA,NO2,NOX,g,2,34.6,0.67,2,31.9,0.33,Outside canopy,Inside canopy,mug,NA,19_Maria_2014,19,NA,TRUE,1,19,5,8,19_Maria_2014_case1,case1,obs.19,Maria_2014_obs.19,g,-0.081247672,2.41e-4,-0.081247672,2.41e-4,FALSE,0.015523953,0.015523953
Maria,2014,"Gothenburg,Sweden",Environmental Pollution,Passive sampler,NA,O3,O3,g,2,24.5,0.59,2,23.8,0.6,Outside canopy,Inside canopy,mug,NA,19_Maria_2014,19,NA,TRUE,2,20,2,9,19_Maria_2014_case2,case2,obs.20,Maria_2014_obs.20,g,-0.028987537,6.08e-4,-0.028987537,6.08e-4,FALSE,0.024652316,0.024652316
A.Bytnerowicz,1999,Poland,Water Air And Soil Pollution,Pollutant analyzer,NA,NO2,NOX,g,5,32.9,7.8,8,4.1,2.1,urban,forests,mug,NA,2_A.Bytnerowicz_1999,2,NA,TRUE,1,21,6,10,2_A.Bytnerowicz_1999_case1,case1,obs.21,A.Bytnerowicz_1999_obs.21,g,-2.082485684,0.044034562,-2.082485684,0.044034562,FALSE,0.209844137,0.209844137
