author,year,area,Journal,method,species,pollutant,p_type1,p_type2.x,Nc,Mc,Sc,Ne,Me,Se,land_use_c,land_use_e,other_param,comment,stulab,stuid,areaid,independent,caseid,obid_l1,obid_l2,obid_l3,caselab,caseid2,obid_l1_2,oblab,p_type2,es_adj,var_adj,es_nadj,var_nadj,shared.T,se_adj,se_nadj
Jason,2011,"Los Angeles,USA",Environmental Research,Pollutant analyzer,NA,NO2,NOX,g,201,21.01,32.01,201,12.76,33.16,Park-adjacent neighborhoods,Park,ppb,"All the concentrations were derived from a local-measurement based LUR model, use with cautions",11_Jason_2011,11,NA,TRUE,1,3,1,1,11_Jason_2011_case1,case1,obs.3,Jason_2011_obs.3,g,-0.498683237,0.045147845,-0.498683237,0.045147845,FALSE,0.212480223,0.212480223
YinShan,2011,Shanghai,Environmental Pollution,Pollutant analyzer,NA,NO2,NOX,g,28,0.056,0.007,28,0.048,0.007,outside park,inside park,mg,NA,12_YinShan_2011,12,NA,TRUE,1,6,2,3,12_YinShan_2011_case1,case1,obs.6,YinShan_2011_obs.6,g,-0.15415068,0.001317584,-0.15415068,0.001317584,FALSE,0.036298544,0.036298544
Heikki,2013,"Helsinki,Finland",Environmental Pollution,Passive sampler,NA,NO2,NOX,g,20,17.41,6.18,20,16.15,5.69,outside treecover,under treecover(leaf),mug,NA,14_Heikki_2013,14,NA,TRUE,1,9,3,5,14_Heikki_2013_case1,case1,obs.9,Heikki_2013_obs.9,g,-0.075124704,0.012506667,-0.075124704,0.012506667,FALSE,0.111833213,0.111833213
Heikki,2013,"Helsinki,Finland",Environmental Pollution,Passive sampler,NA,NO2,NOX,g,20,18.33,4.52,20,17.32,5.54,outside treecover,under treecover(fallen),mug,NA,14_Heikki_2013,14,NA,TRUE,2,10,4,6,14_Heikki_2013_case2,case2,obs.10,Heikki_2013_obs.10,g,-0.056677159,0.008155905,-0.056677159,0.008155905,FALSE,0.090310051,0.090310051
Maria,2014,"Gothenburg,Sweden",Environmental Pollution,Passive sampler,NA,NO2,NOX,g,2,34.6,0.67,2,31.9,0.33,Outside canopy,Inside canopy,mug,NA,19_Maria_2014,19,NA,TRUE,1,19,5,8,19_Maria_2014_case1,case1,obs.19,Maria_2014_obs.19,g,-0.081247672,2.41e-4,-0.081247672,2.41e-4,FALSE,0.015523953,0.015523953
A.Bytnerowicz,1999,Poland,Water Air And Soil Pollution,Pollutant analyzer,NA,NO2,NOX,g,5,32.9,7.8,8,4.1,2.1,urban,forests,mug,NA,2_A.Bytnerowicz_1999,2,NA,TRUE,1,21,6,10,2_A.Bytnerowicz_1999_case1,case1,obs.21,A.Bytnerowicz_1999_obs.21,g,-2.082485684,0.044034562,-2.082485684,0.044034562,FALSE,0.209844137,0.209844137
P.J.Irga,2015,"Sydney, Australia",Atmospheric Environment,Pollutant analyzer,NA,NO2,NOX,g,5,1.1,0.04,6,1.1,0.06,Residential/street,Park,ppm,NA,20_P.J.Irga_2015,20,NA,TRUE,4,26,8,12,20_P.J.Irga_2015_case4,case4,obs.26,P.J.Irga_2015_obs.26,g,0,7.6e-4,0,7.6e-4,FALSE,0.027574093,0.027574093
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,NOX,NOX,g,20,0.26,0.02,20,0.22,0.02,traffic road,green lane,mg,9am-10am,22_Wang_2015,22,NA,TRUE,1,28,9,13,22_Wang_2015_case1,case1,obs.28,Wang_2015_obs.28,g,-0.167054085,7.09e-4,-0.167054085,7.09e-4,FALSE,0.026628577,0.026628577
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,NOX,NOX,g,20,0.26,0.02,20,0.2,0.02,traffic road,green lane,mg,11am-12am,22_Wang_2015,22,NA,TRUE,2,29,10,14,22_Wang_2015_case2,case2,obs.29,Wang_2015_obs.29,g,-0.262364264,7.96e-4,-0.262364264,7.96e-4,FALSE,0.028210955,0.028210955
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,NOX,NOX,g,20,0.22,0.02,20,0.17,0.02,traffic road,green lane,mg,13:30pm-14:30pm,22_Wang_2015,22,NA,TRUE,3,30,11,15,22_Wang_2015_case3,case3,obs.30,Wang_2015_obs.30,g,-0.257829109,0.001105265,-0.257829109,0.001105265,FALSE,0.033245521,0.033245521
Liu,2016,"Kunming,China",JONFU,Passive sampler,NA,NOX,NOX,g,4,0.38,0.03,4,0.07,0.04,outside forests,inside forests,mg,NA,24_Liu_2016,24,NA,TRUE,1,45,12,19,24_Liu_2016_case1,case1,obs.45,Liu_2016_obs.45,g,-1.691676011,0.083190825,-1.691676011,0.083190825,FALSE,0.288428197,0.288428197
