author,year,area,Journal,method,species,pollutant,p_type1,p_type2.x,Nc,Mc,Sc,Ne,Me,Se,land_use_c,land_use_e,other_param,comment,stulab,stuid,areaid,independent,caseid,obid_l1,obid_l2,obid_l3,caselab,caseid2,obid_l1_2,oblab,p_type2,es_adj,var_adj,es_nadj,var_nadj,shared.T,se_adj,se_nadj
Jason,2011,"Los Angeles,USA",Environmental Research,Pollutant analyzer,NA,O3,O3,g,42,80.21,382,42,83.08,381,Park-adjacent neighborhoods,Park,ppb,"All the concentrations were derived from a local-measurement based LUR model, use with cautions",11_Jason_2011,11,NA,TRUE,3,5,1,2,11_Jason_2011_case3,case3,obs.5,Jason_2011_obs.5,g,0.0351558036290784,1.040767825,0.035155804,1.040767825,FALSE,1.0201802905495827,1.020180291
Maria,2014,"Gothenburg,Sweden",Environmental Pollution,Passive sampler,NA,O3,O3,g,2,24.5,0.59,2,23.8,0.6,Outside canopy,Inside canopy,mug,NA,19_Maria_2014,19,NA,TRUE,2,20,2,9,19_Maria_2014_case2,case2,obs.20,Maria_2014_obs.20,g,-0.028987536873252298,6.08e-4,-0.028987537,6.08e-4,FALSE,0.024652315998895884,0.024652316
Duan,2017,"Shenzhen,China",China Environmental Science,Passive sampler,NA,O3,O3,g,12,34.8,4.1,12,45.7,2.3,urban square,Foothill,mug,NA,29_Duan_2017,29,NA,TRUE,1,55,3,21,29_Duan_2017_case1,case1,obs.55,Duan_2017_obs.55,g,0.27248091111973044,0.001367797,0.272480911,0.001367797,FALSE,0.03698373743256266,0.036983737
Duan,2017,"Shenzhen,China",China Environmental Science,Passive sampler,NA,O3,O3,g,12,34.8,4.1,12,48.5,1.9,urban square,River valley,mug,NA,29_Duan_2017,29,NA,TRUE,2,56,4,22,29_Duan_2017_case2,case2,obs.56,Duan_2017_obs.56,g,0.33194641116300894,0.001284611,0.331946411,0.001284611,FALSE,0.035841470791161505,0.035841471
Duan,2017,"Shenzhen,China",China Environmental Science,Passive sampler,NA,O3,O3,g,12,34.8,4.1,12,68.1,5.5,urban square,Ridge,mug,NA,29_Duan_2017,29,NA,TRUE,3,57,5,23,29_Duan_2017_case3,case3,obs.57,Duan_2017_obs.57,g,0.671359826375038,0.001700282,0.671359826,0.001700282,FALSE,0.04123447976396826,0.04123448
Klingberg,2017,"Gothenburg,Sweden",Science of The Total Environment,Pollutant analyzer,NA,O3,O3,g,3,55,3.1,3,64.1,3.3,"in park,20m from traffic","in park,150m from traffic",mug,after leaf emergence,32_Klingberg_2017,32,NA,TRUE,4,64,6,30,32_Klingberg_2017_case4,case4,obs.64,Klingberg_2017_obs.64,g,0.1531111786941533,0.001942421,0.153111179,0.001942421,FALSE,0.04407290147050235,0.044072901
Klingberg,2017,"Gothenburg,Sweden",Science of The Total Environment,Pollutant analyzer,NA,O3,O3,g,3,51,9.2,3,57.4,6.1,no vegetation,dense vegetastion,mug,after leaf emergence,32_Klingberg_2017,32,NA,TRUE,5,65,7,31,32_Klingberg_2017_case5,case5,obs.65,Klingberg_2017_obs.65,g,0.11821867060119497,0.014611674,0.118218671,0.014611674,FALSE,0.1208787558466079,0.120878756
Klingberg,2017,"Gothenburg,Sweden",Science of The Total Environment,Pollutant analyzer,NA,O3,O3,g,3,55.9,3.8,3,61.6,3.1,"park,45m from traffic","park,350m from traffic",mug,after leaf emergence,32_Klingberg_2017,32,NA,TRUE,6,66,8,32,32_Klingberg_2017_case6,case6,obs.66,Klingberg_2017_obs.66,g,0.09709749037842072,0.002384551,0.09709749,0.002384551,FALSE,0.04883186769674239,0.048831868
Yli-Pelkonen,2017,"Baltimore,USA",Atmospheric Environment,Passive sampler,NA,O3,O3,g,25,55.5,3.7,25,50.4,4.2,open area,tree cover,mug,NA,34_Yli-Pelkonen_2017,34,NA,TRUE,2,69,9,34,34_Yli-Pelkonen_2017_case2,case2,obs.69,Yli-Pelkonen_2017_obs.69,g,-0.09639184567506597,4.56e-4,-0.096391846,4.56e-4,FALSE,0.021343747458109495,0.021343747
Yli-Pelkonen,2017,"Helsinki,Finland",Landscape and Urban Planning,Passive sampler,NA,O3,O3,g,10,39.4,3.5,10,37.8,3.5,open area,tree-covered,mug,"paired sub sampling point, adjacent to traffic lane",35_Yli-Pelkonen_2017,35,NA,TRUE,2,71,10,36,35_Yli-Pelkonen_2017_case2,case2,obs.71,Yli-Pelkonen_2017_obs.71,g,-0.041456713678346135,0.00164646,-0.041456714,0.00164646,FALSE,0.040576593012026055,0.040576593
Sabin,2018,"Marmara,Turkey",Atmospheric Pollution Research,Pollutant analyzer,NA,O3,O3,g,7,95.8,12.1,15,104.4,11.3,urban sites,rural sites,mug,only aquired summer,37_Sabin_2018,37,NA,TRUE,1,79,11,43,37_Sabin_2018_case1,case1,obs.79,Sabin_2018_obs.79,g,0.08596699047172364,0.003060011,0.08596699,0.003060011,FALSE,0.055317362407495164,0.055317362
Lucas,2020,"Uberaba,Brazil",Environmental Monitoring And Assessment,Passive sampler+Pollutant analyzer,NA,O3,O3,g,9,18.4,2.2,9,20.1,2.9,Traffic road,Park,mug,NA,44_Lucas_2020,44,NA,TRUE,3,104,12,51,44_Lucas_2020_case3,case3,obs.104,Lucas_2020_obs.104,g,0.08836915045009021,0.003901351,0.08836915,0.003901351,FALSE,0.06246079449243969,0.062460794
Fedrica,2013,"Siena,Italy","21st International Conference on Modelling, Monitoring and Management of Air Pollution",Passive sampler,Oak forsts,O3,O3,g,16,43.13,12.13,16,37.27,10.4,outside forsts-1m from roadside,inside forsts-1m from roadside,mug,NA,53_Fedrica_2013,53,NA,TRUE,4,127,13,59,53_Fedrica_2013_case4,case4,obs.127,Fedrica_2013_obs.127,g,-0.1460300971685847,0.009810218,-0.146030097,0.009810218,FALSE,0.09904654584376059,0.099046546
Fedrica,2013,"Siena,Italy","21st International Conference on Modelling, Monitoring and Management of Air Pollution",Passive sampler,Oak forsts,O3,O3,g,16,45.01,2.92,16,44.02,3.9,outside forsts-5m from roadside,inside forsts-5m from roadside,mug,NA,53_Fedrica_2013,53,NA,TRUE,5,128,14,60,53_Fedrica_2013_case5,case5,obs.128,Fedrica_2013_obs.128,g,-0.022240611206525557,7.54e-4,-0.022240611,7.54e-4,FALSE,0.02745219116983246,0.027452191
Fedrica,2013,"Siena,Italy","21st International Conference on Modelling, Monitoring and Management of Air Pollution",Passive sampler,Oak forsts,O3,O3,g,16,46.78,6.28,16,42.65,5.63,outside forsts-10m from roadside,inside forsts-10m from roadside,mug,NA,53_Fedrica_2013,53,NA,TRUE,6,129,15,61,53_Fedrica_2013_case6,case6,obs.129,Fedrica_2013_obs.129,g,-0.09242848721834489,0.002215442,-0.092428487,0.002215442,FALSE,0.0470684783757606,0.047068478
