author,year,area,Journal,method,species,pollutant,p_type1,p_type2.x,Nc,Mc,Sc,Ne,Me,Se,land_use_c,land_use_e,other_param,comment,stulab,stuid,areaid,independent,caseid,obid_l1,obid_l2,obid_l3,caselab,caseid2,obid_l1_2,oblab,p_type2,es_adj,var_adj,es_nadj,var_nadj,shared.T,se_adj,se_nadj
YinShan,2011,Shanghai,Environmental Pollution,Pollutant analyzer,NA,SO2,SO2,g,28,0.046,0.011,28,0.037,0.009,outside park,inside park,mg,NA,12_YinShan_2011,12,NA,TRUE,2,7,1,4,12_YinShan_2011_case2,case2,obs.7,YinShan_2011_obs.7,g,-0.217723484,0.00415538,-0.217723484,0.00415538,FALSE,0.064462237,0.064462237
Vailshery,2013,"Bangalore,India",Urban Forestry & Urban Greening,Pollutant analyzer,NA,SO2,SO2,g,10,30.9,8.55,10,17.02,7.44,no treecover,under treecover,mug/only quantile data,NA,15_Vailshery_2013,15,NA,TRUE,1,13,2,7,15_Vailshery_2013_case1,case1,obs.13,Vailshery_2013_obs.13,g,-0.596367061,0.026764742,-0.596367061,0.026764742,FALSE,0.163599335,0.163599335
A.Bytnerowicz,1999,Poland,Water Air And Soil Pollution,Pollutant analyzer,NA,SO2,SO2,g,5,20.7,5.4,8,16.1,7.5,urban,forests,mug,NA,2_A.Bytnerowicz_1999,2,NA,TRUE,2,22,7,11,2_A.Bytnerowicz_1999_case2,case2,obs.22,A.Bytnerowicz_1999_obs.22,g,-0.251314428,0.040736276,-0.251314428,0.040736276,FALSE,0.201832296,0.201832296
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,SO2,SO2,g,20,0.09,0.01,20,0.08,0.01,traffic road,green lane,mug,9am-10am,22_Wang_2015,22,NA,TRUE,7,34,3,16,22_Wang_2015_case7,case7,obs.34,Wang_2015_obs.34,g,-0.117783036,0.001398534,-0.117783036,0.001398534,FALSE,0.037396978,0.037396978
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,SO2,SO2,g,20,0.08,0.02,20,0.08,0.02,traffic road,green lane,mug,11am-12am,22_Wang_2015,22,NA,TRUE,8,35,4,17,22_Wang_2015_case8,case8,obs.35,Wang_2015_obs.35,g,0,0.00625,0,0.00625,FALSE,0.079056942,0.079056942
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,SO2,SO2,g,20,0.09,0.01,20,0.05,0.01,traffic road,green lane,mug,13:30pm-14:30pm,22_Wang_2015,22,NA,TRUE,9,36,5,18,22_Wang_2015_case9,case9,obs.36,Wang_2015_obs.36,g,-0.587786665,0.002617284,-0.587786665,0.002617284,FALSE,0.051159397,0.051159397
Liu,2016,"Kunming,China",JONFU,Passive sampler,NA,SO2,SO2,g,4,0.18,0.02,4,0.03,0.02,outside forests,inside forests,mg,NA,24_Liu_2016,24,NA,TRUE,2,46,6,20,24_Liu_2016_case2,case2,obs.46,Liu_2016_obs.46,g,-1.791759469,0.114197531,-1.791759469,0.114197531,FALSE,0.337931252,0.337931252
Wende.Y,2006,Changsha,ACTA ECOLOGICA SINICA,Pollutant analyzer,NA,SO2,SO2,g,4,0.15,0.04,4,0.12,0.03,urban,forests,mg,NA,3_Wende.Y_2006,3,NA,TRUE,1,58,7,24,3_Wende.Y_2006_case1,case1,obs.58,Wende.Y_2006_obs.58,g,-0.223143551,0.033402778,-0.223143551,0.033402778,FALSE,0.182764268,0.182764268
Wende.Y,2006,Changsha,ACTA ECOLOGICA SINICA,Pollutant analyzer,NA,SO2,SO2,g,4,0.2,0.04,4,0.15,0.04,urban,forests,mg,NA,3_Wende.Y_2006,3,NA,TRUE,2,59,8,25,3_Wende.Y_2006_case2,case2,obs.59,Wende.Y_2006_obs.59,g,-0.287682072,0.027777778,-0.287682072,0.027777778,FALSE,0.166666667,0.166666667
Jiang,2017,"Beijing,China",Research of Environmental Sciences,Pollutant analyzer,NA,SO2,SO2,g,5,22.3,2.5,5,22.6,8.4,outside forests,inside forests,mug,monthly average,31_Jiang_2017,31,NA,TRUE,1,60,9,26,31_Jiang_2017_case1,case1,obs.60,Jiang_2017_obs.60,g,0.013363228,0.030143039,0.013363228,0.030143039,FALSE,0.173617507,0.173617507
